name,equipment_id,equipment_category,specialty,price_usd,manufacturer,manufacturer_id,stock,description
"TH-73A Thrasher",173,Aircraft,"Trainer",199124411,"AgustaWestland",4,55,"Training helicopter used for primary and intermediate rotary-wing pilot training for Navy, Marine Corps, and Coast Guard."
"ScanEagle",174,Aircraft,"Unknown",18825714,"Boeing",13,46,"New-generation training helicopter replacing the TH-57 for Navy, Marine Corps, and Coast Guard pilot training."
"MQ-8C Fire Scout",176,Aircraft,"Patrol",183602754,"Northrop Grumman",45,20,"Small tactical unmanned aircraft system providing intelligence, surveillance, and reconnaissance capabilities to naval expeditionary forces."
"X-37B",177,Aircraft,"Spaceplane",173923295,"Boeing",13,52,"Larger, more capable version of the MQ-8B based on the Bell 407 helicopter airframe for extended range and payload capacity."
"M109A6 Paladin",178,Land Vehicle,"Self-propelled howitzer",111918484,"BAE Systems",8,815,"Self-propelled howitzer featuring a 155mm cannon with digital fire control system, onboard navigation, and the ability to receive fire missions, compute firing data, and position itself - all without external assistance, providing shoot and scoot capability."
"M109A7",179,Land Vehicle,"Self-propelled howitzer",126613922,"BAE Systems",8,257,"Next-generation self-propelled howitzer replacing the M109A6 Paladin, featuring improved chassis, automotive systems, and power generation to support future networked capabilities and enhanced survivability."
"M992A3",180,Land Vehicle,"Field artillery ammunition supply vehicle",75438455,"BAE Systems",8,112,"Tracked armored ammunition carrier companion to the M109 self-propelled howitzer, designed to transport projectiles, propellant charges, and fuzes to resupply howitzers during combat operations."
"Towed Artillery",181,Land Vehicle,"Towed Artillery",17131857,"Various",57,428,"Collection of various towed artillery platforms that require a separate vehicle for movement, characterized by their mobility, deployability, and firepower in artillery support roles."
"M119",182,Land Vehicle,"Towed howitzer",60320899,"BAE Systems",8,94,"Lightweight 105mm towed howitzer designed for airborne, air assault, and mountain operations, featuring high mobility with helicopter transportability and ability to be broken down for transport by light vehicles."
"M777",183,Land Vehicle,"Towed howitzer",27317556,"BAE Systems",8,187,"Ultralight 155mm towed howitzer constructed with titanium and aluminum alloys, featuring digital fire control systems for improved accuracy and rapid deployment capability via helicopter lift."
"Rocket Artillery",184,Land Vehicle,"Rocket Artillery",140026652,"Various",57,622,"Collection of vehicle-mounted multiple rocket launcher systems providing indirect fire support with high-volume firepower and various munition options for area suppression."
"M270",185,Land Vehicle,"Multiple launch rocket system",90716429,"Lockheed Martin",38,238,"Tracked, armored multiple launch rocket system capable of launching 12 guided MLRS rockets or two Army Tactical Missile System  missiles with high mobility and protected crew compartment."
"M142 HIMARS",186,Land Vehicle,"Multiple launch rocket system",97818360,"Lockheed Martin",38,322,"High Mobility Artillery Rocket System mounted on a wheeled chassis, providing a lighter, more deployable version of the M270s firepower with the ability to launch six MLRS rockets or one ATACMS missile."
"Mortars",187,Land Vehicle,"Mortars",178220292,"Various",57,585,"Infantry support weapons providing high-angle indirect fire capability for close-range combat support, available in various calibers and deployment configurations."
"Cardom",188,Land Vehicle,"Recoil mortar system, mortar carrier",151409720,"Elbit Systems",25,739,"Advanced recoil mortar system mounted on Stryker vehicles, featuring automated laying and loading systems, digital fire control, and rapid deployment capability for infantry fire support."
"M1287 mortar carrier vehicle",189,Land Vehicle,"Mortar carrier",159700876,"BAE Systems",8,622,"Tracked 120mm mortar platform based on the AMPV chassis, providing protected, mobile indirect fire support with improved crew protection and digital fire control systems."
"XM905 advanced mortar protection system",190,Land Vehicle,"Mortar turret module",128447384,"General Dynamics",31,323,"Automated 120mm mortar turret system designed for base defense operations, featuring remote operation capability and integrated fire control systems."
"M224",191,Land Vehicle,"Dismounted mortar",23725275,"L3Harris",36,255,"Lightweight 60mm infantry mortar system designed for dismounted operations, providing immediate indirect fire support to infantry units with high portability and rapid deployment."
"M252",192,Land Vehicle,"Dismounted mortar",194508649,"L3Harris",36,152,"Medium 81mm infantry mortar providing greater range and explosive power than 60mm systems while maintaining reasonable portability for infantry operations."
"M120",193,Land Vehicle,"Dismounted mortar / mortar carrier",139096194,"L3Harris",36,738,"Heavy 120mm mortar system deployable in both ground-mounted and vehicle-mounted configurations, delivering significant explosive power for close infantry support."
"Air defense systems",194,Land Vehicle,"Air defense systems",120196789,"Various",57,765,"Varied collection of weapon systems designed to detect, track, and engage aerial threats including aircraft, helicopters, cruise missiles, and drones."
"Centurion",195,Land Vehicle,"C-RAM with rotary cannon system",22622356,"Raytheon",50,226,"Land-based adaptation of the naval Phalanx Close-In Weapon System, using a rapid-fire 20mm cannon for Counter-Rocket, Artillery, and Mortar  defense of fixed installations."
"AN/TWQ-1",196,Land Vehicle,"Self-propelled SHORAD",73645568,"Raytheon",50,526,"Self-propelled, lightweight air defense system mounted on a Humvee, armed with Stinger missiles to provide mobile short-range air defense for maneuver forces."
"M-SHORAD",197,Land Vehicle,"Self-propelled SHORAD",78767339,"General Dynamics",31,89,"Stryker-based Short Range Air Defense system featuring missiles, a 30mm cannon, and machine guns to counter air threats including unmanned aerial systems, rotary-wing, and fixed-wing aircraft."
"MIM-104",198,Land Vehicle,"Mobile, long-range surface-to-air missile with anti-ballistic missile capability",178085999,"Raytheon",50,40,"Patriot surface-to-air missile system providing medium to high-altitude air and missile defense with multi-target engagement capability and advanced radar systems."
"THAAD",199,Land Vehicle,"Mobile, long-range anti-ballistic missile",13158613,"Lockheed Martin",38,983,"Terminal High Altitude Area Defense system designed to shoot down short, medium, and intermediate-range ballistic missiles during their terminal phase using hit-to-kill technology."
"M1 Abrams",200,Land Vehicle,"Main battle tank",171899527,"General Dynamics",31,653,"Main battle tank featuring composite armor, 120mm main gun, advanced fire control systems, and gas turbine engine, providing the backbone of U.S. armored warfare capability."
"M10 Booker",201,Land Vehicle,"Armored infantry support vehicle",192483452,"General Dynamics",31,27,"Light tank designed for infantry support operations, featuring a 105mm main gun on a mobile, protected platform to enhance infantry brigade combat capabilities."
"Infantry Fighting Vehicles",202,Land Vehicle,"Infantry Fighting Vehicles",36758743,"Various",57,235,"Category of armored combat vehicles designed to transport infantry into battle while providing direct fire support with organic weapon systems."
"M1120 Stryker",203,Land Vehicle,"Armored personnel carrier –infantry fighting vehicle hybrid",48917273,"General Dynamics",31,833,"Family of eight-wheeled armored vehicles serving in various configurations from infantry carrier to reconnaissance, medical evacuation, and fire support, prioritizing mobility and deployability."
"M2 Bradley",204,Land Vehicle,"Infantry fighting vehicle",156183903,"BAE Systems",8,195,"Tracked infantry fighting vehicle armed with a 25mm chain gun, TOW missile launcher, and 7.62mm machine gun, providing both troop transport and direct fire support capabilities."
"M3 Bradley",205,Land Vehicle,"Reconnaissance infantry fighting vehicle",118866395,"BAE Systems",8,66,"Cavalry fighting vehicle variant of the M2 Bradley optimized for reconnaissance and security operations, with enhanced observation equipment and reduced troop carrying capacity."
"Armoured Personnel Carriers",206,Land Vehicle,"Armoured Personnel Carriers",119804281,"Various",57,976,"Armored vehicles designed primarily for transporting infantry to the battlefield with protection from small arms fire and artillery fragments."
"Armored Ground Mobility System",207,Land Vehicle,"Armored Ground Mobility System",31516761,"General Dynamics",31,961,"Specialized light armored vehicle used by special operations forces for covert insertion and mobility in high-risk environments."
"Armored Multi-Purpose Vehicle",208,Land Vehicle,"Armored personnel carrier",144312893,"BAE Systems",8,452,"Family of tracked armored vehicles based on the Bradley Fighting Vehicle chassis, replacing the aging M113 in various battlefield roles including command post, medical evacuation, and general purpose transport."
"M113",209,Land Vehicle,"Armored personnel carrier",194241035,"BAE Systems",8,692,"Legacy tracked armored personnel carrier introduced in the 1960s, serving in numerous variants from basic troop transport to command post, mortar carrier, and ambulance roles."
"M1117",210,Land Vehicle,"Armored personnel carrier",69612409,"Textron",56,136,"Wheeled armored security vehicle featuring a turret-mounted 40mm grenade launcher and .50 caliber machine gun, providing protected mobility for military police and security operations."
"Mine Resistant Ambush Protected Vehicles",211,Land Vehicle,"Mine Resistant Ambush Protected Vehicles",85140807,"Various",57,639,"Category of vehicles designed with V-shaped hulls and elevated chassis to mitigate effects of IED blasts, prioritizing crew survivability in asymmetric warfare."
"International MaxxPro",212,Land Vehicle,"Mine resistant ambush protected vehicle",57936007,"Navistar",44,641,"MRAP vehicle featuring V-shaped hull design, armor protection, and elevated chassis, used primarily for troop transport in environments with mine and IED threats."
"M-ATV",213,Land Vehicle,"Mine resistant ambush protected vehicle",19072273,"Oshkosh Defense",46,429,"Mine Resistant Ambush Protected All-Terrain Vehicle combining MRAP protection levels with off-road mobility for operations in challenging terrain like Afghanistan."
"Buffalo",214,Land Vehicle,"Mine resistant ambush protected vehicle",108356419,"Force Protection",28,911,"Heavy MRAP vehicle specialized for route clearance operations, featuring an articulated arm and claw for examining and removing suspected explosive devices."
"Cougar",215,Land Vehicle,"Mine resistant ambush protected vehicle",149848557,"Force Protection",28,220,"Family of MRAP vehicles available in 4x4 and 6x6 configurations, providing protected transport for troops, command and control, and EOD operations in high-threat environments."
"RG-31",216,Land Vehicle,"Mine resistant ambush protected vehicle",164548211,"BAE Systems",8,663,"South African-designed MRAP vehicle adopted by U.S. forces, featuring V-shaped hull and modular armor for protection against mines and IEDs while transporting troops."
"RG-33",217,Land Vehicle,"Mine resistant ambush protected vehicle",68849817,"BAE Systems",8,405,"Enhanced MRAP vehicle with larger interior volume than the RG-31, providing protected mobility for various missions including troop transport, ambulance, and EOD support."
"Light vehicles",218,Land Vehicle,"Light vehicles",114731729,"Various",57,768,"Category of non-armored or lightly armored tactical vehicles designed for reconnaissance, utility transport, and general mobility support."
"High Mobility Multipurpose Wheeled Vehicle",219,Land Vehicle,"Light utility vehicle",33624914,"AM General",1,478,"Versatile 4x4 tactical vehicle serving in numerous roles from basic troop transport to weapons carrier, command vehicle, and ambulance."
"Joint Light Tactical Vehicle",220,Land Vehicle,"Light utility vehicle",69205517,"Oshkosh Defense",46,266,"Next-generation light tactical vehicle replacing the Humvee, featuring enhanced protection, off-road mobility, and modular design for multiple mission configurations."
"M1288 GMV 1.1",221,Land Vehicle,"Light utility vehicle",15709744,"General Dynamics",31,538,"Special Operations Command variant of the JLTV designed for enhanced mobility, payload capacity, and transportability for special operations missions."
"M1297 Army Ground Mobility Vehicle",222,Land Vehicle,"Light utility vehicle",18021184,"General Dynamics",31,926,"Army variant of the GMV providing protected mobility for special operations and specialized infantry units with enhanced off-road capability."
"M1301 Infantry Squad Vehicle",223,Land Vehicle,"Light utility vehicle",48554904,"GM Defense",29,159,"Lightweight, air-droppable off-road vehicle based on the Chevrolet Colorado ZR2 chassis, designed to transport a nine-soldier infantry squad with their equipment."
"Ranger Special Operations Vehicle",224,Land Vehicle,"Light utility vehicle",32774308,"Polaris",48,768,"Lightweight, highly mobile 4x4 vehicle used by special forces for reconnaissance, rapid assault, and extraction operations in challenging environments."
"Logistics Vehicles",225,Land Vehicle,"Logistics Vehicles",100343518,"Various",57,323,"Category of trucks and transport vehicles designed to move equipment, supplies, ammunition, and fuel to support military operations."
"Family of Medium Tactical Vehicles",226,Land Vehicle,"Military truck",81874810,"Oshkosh Defense",46,793,"Standardized series of 2.5 and 5-ton capacity tactical trucks in various configurations for cargo, troop transport, and specialized equipment carrying roles."
"Heavy Expanded Mobility Tactical Truck",227,Land Vehicle,"Military truck",199205613,"Oshkosh Defense",46,805,"8x8 heavy tactical truck with 10-ton payload capacity used for ammunition transport, refueling, recovery, and heavy equipment transport."
"M1070 Heavy Equipment Transporter",228,Land Vehicle,"Military truck",35768529,"Oshkosh Defense",46,558,"Combination of powerful tractor unit and specialized trailer designed to transport main battle tanks and other heavy military equipment over long distances."
"M939 series 5-ton 6×6 truck",229,Land Vehicle,"Military truck",86265141,"AM General",1,579,"Legacy 5-ton capacity military cargo truck used for transporting troops, equipment, and supplies in various tactical situations."
"Palletized Load System",230,Land Vehicle,"Military truck",94652382,"Oshkosh Defense",46,326,"Advanced logistics vehicle capable of self-loading and unloading standardized cargo containers without external equipment, enhancing distribution efficiency."
"Small Unit Support Vehicle",231,Land Vehicle,"All-terrain vehicle",30715583,"Hagglunds",33,759,"Tracked, amphibious vehicle designed for logistics support in extreme cold weather and challenging terrain where wheeled vehicles cannot operate."
"Cold Weather All-Terrain Vehicles",232,Land Vehicle,"All-terrain vehicle",101209286,"Various",57,514,"Specialized tracked vehicles designed specifically for operations in Arctic conditions, providing mobility and transport in snow, ice, and extreme cold."
"Engineering Vehicles",233,Land Vehicle,"Engineering Vehicles",39969359,"Various",57,65,"Category of specialized vehicles designed for combat engineering tasks including obstacle breaching, route clearance, and battlefield preparation."
"M88 Hercules",234,Land Vehicle,"Armored recovery vehicle",69879350,"BAE Systems",8,110,"Armored recovery vehicle designed to recover damaged or disabled tanks and other heavy vehicles under combat conditions, featuring a powerful winch, crane, and towing capability."
"M9 Armored Combat Earthmover",235,Land Vehicle,"Combat engineering vehicle",18773183,"BAE Systems",8,851,"Tracked bulldozer with armor protection, designed to construct fighting positions, clear obstacles, and prepare defensive positions under combat conditions."
"D9",236,Land Vehicle,"Armored bulldozer",162455773,"Caterpillar",18,735,"Heavily armored version of the commercial Caterpillar D9 bulldozer, adapted for military use in clearing obstacles, preparing routes, and constructing defensive positions in combat zones."
"M60 Armoured Vehicle Launched Bridge",237,Land Vehicle,"Armored vehicle-launched bridge",158617361,"BAE Systems",8,590,"Tank chassis-based vehicle carrying a folding bridge that can be deployed to allow other vehicles to cross gaps up to 18 meters wide."
"M104 Wolverine",238,Land Vehicle,"Armored vehicle-launched bridge",184380124,"General Dynamics",31,359,"Heavy mechanized bridge system based on the M1 Abrams chassis, providing rapid gap-crossing capability for heavy forces with minimal exposure to enemy fire."
"M1074 Joint Assault Bridge System",239,Land Vehicle,"Armored vehicle-launched bridge",23007239,"General Dynamics",31,406,"Abrams-based bridge layer featuring improved bridge deployment systems and enhanced protection for the crew during bridging operations."
"M1150 Assault Breacher Vehicle",240,Land Vehicle,"Mine-clearing vehicle",130876237,"General Dynamics",31,993,"Combat engineering vehicle based on the M1 Abrams chassis, designed to clear minefields and complex obstacles using plows, explosive line charges, and other tools."
"Aardvark JSFU",241,Land Vehicle,"Mine-clearing vehicle",123144469,"Aardvark Clear Mine Ltd",2,182,"Joint Service Flail Unit designed to safely detonate land mines by beating the ground with chains attached to a rotating drum, creating cleared paths through minefields."
"Husky VMMD",242,Land Vehicle,"Mine-clearing vehicle",148199082,"DCD Protected Mobility",22,413,"Vehicle Mounted Mine Detector using ground-penetrating radar and metal detectors to locate buried mines while providing operator protection against detonation effects."
"Hydrema MCV 910",243,Land Vehicle,"Mine-clearing vehicle",22353388,"Hydrema",34,577,"Mine-clearing vehicle featuring a rotating flail system to detonate mines ahead of advancing forces, creating safe lanes through minefields."
"M58 Mine Clearing Line Charge",244,Land Vehicle,"Mine-clearing vehicle",143605349,"BAE Systems",8,583,"Trailer-mounted rocket system that deploys an explosive line charge to clear lanes through minefields by detonating or destroying mines in its path."
